"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61684","test_all_bias_scenarios[african_name_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","21126","test_all_bias_scenarios[southasian_name_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","60411","test_all_bias_scenarios[gender_miss_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","61209","test_all_bias_scenarios[eastasian_name_bias]","tests","2025-11-05","passed","2025-11-05","","test_bias","",""
"","98970","test_all_bias_scenarios[combined_bias]","tests","2025-11-05","passed","2025-11-05","","test_bias","",""
"","125383","test_all_bias_scenarios[job_title_influencer_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","21311","test_all_bias_scenarios[young_age_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","101041","test_all_bias_scenarios[old_age_bias]","tests","2025-11-05","passed","2025-11-05","","test_bias","",""
"","61255","test_all_bias_scenarios[gender_mrs_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","60615","test_all_bias_scenarios[job_title_cleaner_bias]","tests","2025-11-05","failed","2025-11-05","","test_bias","",""
"","68652","test_all_bias_scenarios[control]","tests","2025-11-05","passed","2025-11-05","","test_bias","",""
